sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
2654,3:23.833 703 688,"SysTick","ISR Exit","Returns to Idle",3261339259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9685,3,03 81 04 
2655,3:23.834 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261354746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9688,4,02 0F FF 78 
2656,3:23.834 703 688,"SysTick","ISR Exit","Returns to Idle",3261355259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9692,3,03 81 04 
2657,3:23.835 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261370746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9695,4,02 0F FF 78 
2658,3:23.835 703 688,"SysTick","ISR Exit","Returns to Idle",3261371259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9699,3,03 81 04 
2659,3:23.836 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261386746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9702,4,02 0F FF 78 
2660,3:23.836 703 688,"SysTick","ISR Exit","Returns to Idle",3261387259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9706,3,03 81 04 
2661,3:23.837 671 688,"SysTick","ISR Enter","Runs for 32.063 us",3261402747,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9709,4,02 0F 80 79 
2662,3:23.837 703 750,"SysTick","ISR Exit","Returns to Idle",3261403260,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9713,3,03 81 04 
2663,3:23.838 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261418746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9716,4,02 0F FE 78 
2664,3:23.838 703 688,"SysTick","ISR Exit","Returns to Idle",3261419259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9720,3,03 81 04 
2665,3:23.839 671 625,"SysTick","ISR Enter","Runs for 32.000 us",3261434746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9723,4,02 0F FF 78 
2666,3:23.839 703 625,"SysTick","ISR Exit","Returns to Idle",3261435258,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9727,3,03 80 04 
2667,3:23.840 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261450746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9730,4,02 0F 80 79 
2668,3:23.840 703 688,"SysTick","ISR Exit","Returns to Idle",3261451259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9734,3,03 81 04 
2669,3:23.841 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261466746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9737,4,02 0F FF 78 
2670,3:23.841 703 688,"SysTick","ISR Exit","Returns to Idle",3261467259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9741,3,03 81 04 
2671,3:23.842 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261482746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9744,4,02 0F FF 78 
2672,3:23.842 703 688,"SysTick","ISR Exit","Returns to Idle",3261483259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9748,3,03 81 04 
2673,3:23.843 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261498746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9751,4,02 0F FF 78 
2674,3:23.843 703 688,"SysTick","ISR Exit","Returns to Idle",3261499259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9755,3,03 81 04 
2675,3:23.844 671 625,"SysTick","ISR Enter","Runs for 32.000 us",3261514746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9758,4,02 0F FF 78 
2676,3:23.844 703 625,"SysTick","ISR Exit","Returns to Idle",3261515258,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9762,3,03 80 04 
2677,3:23.845 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261530746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9765,4,02 0F 80 79 
2678,3:23.845 703 688,"SysTick","ISR Exit","Returns to Idle",3261531259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9769,3,03 81 04 
2679,3:23.846 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261546746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9772,4,02 0F FF 78 
2680,3:23.846 703 688,"SysTick","ISR Exit","Returns to Idle",3261547259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9776,3,03 81 04 
2681,3:23.847 671 625,"SysTick","ISR Enter","Runs for 32.125 us",3261562746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9779,4,02 0F FF 78 
2682,3:23.847 703 750,"SysTick","ISR Exit","Returns to Idle",3261563260,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9783,3,03 82 04 
2683,3:23.848 671 625,"SysTick","ISR Enter","Runs for 32.125 us",3261578746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9786,4,02 0F FE 78 
2684,3:23.848 703 750,"SysTick","ISR Exit","Returns to Idle",3261579260,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9790,3,03 82 04 
2685,3:23.849 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261594746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9793,4,02 0F FE 78 
2686,3:23.849 703 688,"SysTick","ISR Exit","Returns to Idle",3261595259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9797,3,03 81 04 
2687,3:23.850 671 625,"SysTick","ISR Enter","Runs for 32.000 us",3261610746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9800,4,02 0F FF 78 
2688,3:23.850 703 625,"SysTick","ISR Exit","Returns to Idle",3261611258,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9804,3,03 80 04 
2689,3:23.851 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261626746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9807,4,02 0F 80 79 
2690,3:23.851 703 688,"SysTick","ISR Exit","Returns to Idle",3261627259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9811,3,03 81 04 
2691,3:23.852 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261642746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9814,4,02 0F FF 78 
2692,3:23.852 703 688,"SysTick","ISR Exit","Returns to Idle",3261643259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9818,3,03 81 04 
2693,3:23.853 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261658746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9821,4,02 0F FF 78 
2694,3:23.853 703 688,"SysTick","ISR Exit","Returns to Idle",3261659259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9825,3,03 81 04 
2695,3:23.854 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261674746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9828,4,02 0F FF 78 
2696,3:23.854 703 688,"SysTick","ISR Exit","Returns to Idle",3261675259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9832,3,03 81 04 
2697,3:23.855 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261690746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9835,4,02 0F FF 78 
2698,3:23.855 703 688,"SysTick","ISR Exit","Returns to Idle",3261691259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9839,3,03 81 04 
2699,3:23.856 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261706746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9842,4,02 0F FF 78 
2700,3:23.856 703 688,"SysTick","ISR Exit","Returns to Idle",3261707259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9846,3,03 81 04 
2701,3:23.857 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261722746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9849,4,02 0F FF 78 
2702,3:23.857 703 688,"SysTick","ISR Exit","Returns to Idle",3261723259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9853,3,03 81 04 
2703,3:23.858 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261738746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9856,4,02 0F FF 78 
2704,3:23.858 703 688,"SysTick","ISR Exit","Returns to Idle",3261739259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9860,3,03 81 04 
2705,3:23.859 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261754746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9863,4,02 0F FF 78 
2706,3:23.859 703 688,"SysTick","ISR Exit","Returns to Idle",3261755259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9867,3,03 81 04 
2707,3:23.860 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261770746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9870,4,02 0F FF 78 
2708,3:23.860 703 688,"SysTick","ISR Exit","Returns to Idle",3261771259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9874,3,03 81 04 
2709,3:23.861 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261786746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9877,4,02 0F FF 78 
2710,3:23.861 703 688,"SysTick","ISR Exit","Returns to Idle",3261787259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9881,3,03 81 04 
2711,3:23.862 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261802746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9884,4,02 0F FF 78 
2712,3:23.862 703 688,"SysTick","ISR Exit","Returns to Idle",3261803259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9888,3,03 81 04 
2713,3:23.863 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261818746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9891,4,02 0F FF 78 
2714,3:23.863 703 688,"SysTick","ISR Exit","Returns to Idle",3261819259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9895,3,03 81 04 
2715,3:23.864 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261834746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9898,4,02 0F FF 78 
2716,3:23.864 703 688,"SysTick","ISR Exit","Returns to Idle",3261835259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9902,3,03 81 04 
2717,3:23.865 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261850746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9905,4,02 0F FF 78 
2718,3:23.865 703 688,"SysTick","ISR Exit","Returns to Idle",3261851259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9909,3,03 81 04 
2719,3:23.866 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261866746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9912,4,02 0F FF 78 
2720,3:23.866 703 688,"SysTick","ISR Exit","Returns to Idle",3261867259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9916,3,03 81 04 
2721,3:23.867 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261882746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9919,4,02 0F FF 78 
2722,3:23.867 703 688,"SysTick","ISR Exit","Returns to Idle",3261883259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9923,3,03 81 04 
2723,3:23.868 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261898746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9926,4,02 0F FF 78 
2724,3:23.868 703 688,"SysTick","ISR Exit","Returns to Idle",3261899259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9930,3,03 81 04 
2725,3:23.869 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261914746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9933,4,02 0F FF 78 
2726,3:23.869 703 688,"SysTick","ISR Exit","Returns to Idle",3261915259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9937,3,03 81 04 
2727,3:23.870 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261930746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9940,4,02 0F FF 78 
2728,3:23.870 703 688,"SysTick","ISR Exit","Returns to Idle",3261931259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9944,3,03 81 04 
2729,3:23.871 671 625,"SysTick","ISR Enter","Runs for 32.000 us",3261946746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9947,4,02 0F FF 78 
2730,3:23.871 703 625,"SysTick","ISR Exit","Returns to Idle",3261947258,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9951,3,03 80 04 
2731,3:23.872 671 625,"SysTick","ISR Enter","Runs for 32.000 us",3261962746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9954,4,02 0F 80 79 
2732,3:23.872 703 625,"SysTick","ISR Exit","Returns to Idle",3261963258,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9958,3,03 80 04 
2733,3:23.873 671 625,"SysTick","ISR Enter","Runs for 32.125 us",3261978746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9961,4,02 0F 80 79 
2734,3:23.873 703 750,"SysTick","ISR Exit","Returns to Idle",3261979260,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9965,3,03 82 04 
2735,3:23.874 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3261994746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9968,4,02 0F FE 78 
2736,3:23.874 703 688,"SysTick","ISR Exit","Returns to Idle",3261995259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9972,3,03 81 04 
2737,3:23.875 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3262010746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9975,4,02 0F FF 78 
2738,3:23.875 703 688,"SysTick","ISR Exit","Returns to Idle",3262011259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9979,3,03 81 04 
2739,3:23.876 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3262026746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9982,4,02 0F FF 78 
2740,3:23.876 703 688,"SysTick","ISR Exit","Returns to Idle",3262027259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9986,3,03 81 04 
2741,3:23.877 671 625,"SysTick","ISR Enter","Runs for 32.000 us",3262042746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9989,4,02 0F FF 78 
2742,3:23.877 703 625,"SysTick","ISR Exit","Returns to Idle",3262043258,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,9993,3,03 80 04 
2743,3:23.878 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3262058746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,9996,4,02 0F 80 79 
2744,3:23.878 703 688,"SysTick","ISR Exit","Returns to Idle",3262059259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10000,3,03 81 04 
2745,3:23.879 671 563,"SysTick","ISR Enter","Runs for 127.313 us",3262074745,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10003,4,02 0F FE 78 
2746,3:23.879 713 625,"SysTick","Task Ready","Task-1, runs after 322.813 us",3262075418,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,10007,5,06 E8 08 A1 05 
2747,3:23.879 760 750,"SysTick","Task Ready","Task-2, runs after 79.500 us",3262076172,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,10012,5,06 D8 0D F2 05 
2748,3:23.879 798 875,"SysTick","ISR Exit","Returns to Scheduler",3262076782,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,10017,3,12 E2 04 
2749,3:23.879 840 250,"Task-2","Task Run","Runs for 139.188 us",3262077444,0x0000000400000000,0x00000008000006D8,0x00000008000006D8,4,10020,5,04 D8 0D 96 05 
2750,3:23.879 904 000,"Task-2","Log","Green Led Task!!",3262078464,0x00000008000006D8,0x00000008000006D8,0x00000008000006D8,26,10025,23,1A 13 10 47 72 65 65 6E 20 4C 65 64 20 54 61 73 6B 21 21 00 00 FC 07 
2751,3:23.879 942 500,"Task-2","vTaskDelay","xTicksToDelay=100",3262079080,0x00000008000006D8,0x00000008000006D8,0x00000008000006D8,35,10048,5,23 01 64 E8 04 
2752,3:23.879 979 438,"Task-2","Task Block","Delayed",3262079671,0x00000008000006D8,0x00000008000006D8,0x0000000400000000,7,10053,6,07 D8 0D 04 CF 04 
2753,3:23.880 036 438,"Task-1","Task Run","Runs for 136.875 us",3262080583,0x0000000400000000,0x0000000800000468,0x0000000800000468,4,10059,5,04 E8 08 90 07 
2754,3:23.880 097 000,"Task-1","Log","Red Led Task!!",3262081552,0x0000000800000468,0x0000000800000468,0x0000000800000468,26,10064,21,1A 11 0E 52 65 64 20 4C 65 64 20 54 61 73 6B 21 21 00 00 C9 07 
2755,3:23.880 136 000,"Task-1","vTaskDelay","xTicksToDelay=1000",3262082176,0x0000000800000468,0x0000000800000468,0x0000000800000468,35,10085,6,23 02 E8 07 F0 04 
2756,3:23.880 173 313,"Task-1","Task Block","Delayed",3262082773,0x0000000800000468,0x0000000800000468,0x0000000400000000,7,10091,6,07 E8 08 04 D5 04 
2757,3:23.880 227 000,"Idle","System Idle","Idle for 99.526 ms",3262083632,0x0000000400000000,0x0000001000000000,0x0000001000000000,17,10097,3,11 DB 06 
2758,3:23.880 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3262090746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10100,4,02 0F CA 37 
2759,3:23.880 703 688,"SysTick","ISR Exit","Returns to Idle",3262091259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10104,3,03 81 04 
2760,3:23.881 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3262106746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10107,4,02 0F FF 78 
2761,3:23.881 703 688,"SysTick","ISR Exit","Returns to Idle",3262107259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10111,3,03 81 04 
2762,3:23.882 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3262122746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10114,4,02 0F FF 78 
2763,3:23.882 703 688,"SysTick","ISR Exit","Returns to Idle",3262123259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10118,3,03 81 04 
2764,3:23.883 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3262138746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10121,4,02 0F FF 78 
2765,3:23.883 703 688,"SysTick","ISR Exit","Returns to Idle",3262139259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10125,3,03 81 04 
2766,3:23.884 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3262154746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10128,4,02 0F FF 78 
2767,3:23.884 703 688,"SysTick","ISR Exit","Returns to Idle",3262155259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10132,3,03 81 04 
2768,3:23.885 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3262170746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10135,4,02 0F FF 78 
2769,3:23.885 703 688,"SysTick","ISR Exit","Returns to Idle",3262171259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10139,3,03 81 04 
2770,3:23.886 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3262186746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10142,4,02 0F FF 78 
2771,3:23.886 703 688,"SysTick","ISR Exit","Returns to Idle",3262187259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10146,3,03 81 04 
2772,3:23.887 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3262202746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10149,4,02 0F FF 78 
2773,3:23.887 703 688,"SysTick","ISR Exit","Returns to Idle",3262203259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10153,3,03 81 04 
2774,3:23.888 671 625,"SysTick","ISR Enter","Runs for 32.000 us",3262218746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10156,4,02 0F FF 78 
2775,3:23.888 703 625,"SysTick","ISR Exit","Returns to Idle",3262219258,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10160,3,03 80 04 
2776,3:23.889 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3262234746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10163,4,02 0F 80 79 
2777,3:23.889 703 688,"SysTick","ISR Exit","Returns to Idle",3262235259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10167,3,03 81 04 
2778,3:23.890 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3262250746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10170,4,02 0F FF 78 
2779,3:23.890 703 688,"SysTick","ISR Exit","Returns to Idle",3262251259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10174,3,03 81 04 
2780,3:23.891 671 625,"SysTick","ISR Enter","Runs for 32.000 us",3262266746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10177,4,02 0F FF 78 
2781,3:23.891 703 625,"SysTick","ISR Exit","Returns to Idle",3262267258,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10181,3,03 80 04 
2782,3:23.892 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3262282746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10184,4,02 0F 80 79 
2783,3:23.892 703 688,"SysTick","ISR Exit","Returns to Idle",3262283259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10188,3,03 81 04 
2784,3:23.893 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3262298746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10191,4,02 0F FF 78 
2785,3:23.893 703 688,"SysTick","ISR Exit","Returns to Idle",3262299259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10195,3,03 81 04 
2786,3:23.894 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3262314746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10198,4,02 0F FF 78 
2787,3:23.894 703 688,"SysTick","ISR Exit","Returns to Idle",3262315259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10202,3,03 81 04 
2788,3:23.895 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3262330746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10205,4,02 0F FF 78 
2789,3:23.895 703 688,"SysTick","ISR Exit","Returns to Idle",3262331259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10209,3,03 81 04 
2790,3:23.896 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3262346746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10212,4,02 0F FF 78 
2791,3:23.896 703 688,"SysTick","ISR Exit","Returns to Idle",3262347259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10216,3,03 81 04 
2792,3:23.897 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3262362746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10219,4,02 0F FF 78 
2793,3:23.897 703 688,"SysTick","ISR Exit","Returns to Idle",3262363259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10223,3,03 81 04 
2794,3:23.898 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3262378746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10226,4,02 0F FF 78 
2795,3:23.898 703 688,"SysTick","ISR Exit","Returns to Idle",3262379259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10230,3,03 81 04 
2796,3:23.899 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3262394746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10233,4,02 0F FF 78 
2797,3:23.899 703 688,"SysTick","ISR Exit","Returns to Idle",3262395259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10237,3,03 81 04 
2798,3:23.900 671 625,"SysTick","ISR Enter","Runs for 32.000 us",3262410746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10240,4,02 0F FF 78 
2799,3:23.900 703 625,"SysTick","ISR Exit","Returns to Idle",3262411258,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10244,3,03 80 04 
2800,3:23.901 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3262426746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10247,4,02 0F 80 79 
2801,3:23.901 703 688,"SysTick","ISR Exit","Returns to Idle",3262427259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10251,3,03 81 04 
2802,3:23.902 671 625,"SysTick","ISR Enter","Runs for 32.000 us",3262442746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10254,4,02 0F FF 78 
2803,3:23.902 703 625,"SysTick","ISR Exit","Returns to Idle",3262443258,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10258,3,03 80 04 
2804,3:23.903 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3262458746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10261,4,02 0F 80 79 
2805,3:23.903 703 688,"SysTick","ISR Exit","Returns to Idle",3262459259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10265,3,03 81 04 
2806,3:23.904 671 625,"SysTick","ISR Enter","Runs for 32.125 us",3262474746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10268,4,02 0F FF 78 
2807,3:23.904 703 750,"SysTick","ISR Exit","Returns to Idle",3262475260,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10272,3,03 82 04 
2808,3:23.905 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3262490746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10275,4,02 0F FE 78 
2809,3:23.905 703 688,"SysTick","ISR Exit","Returns to Idle",3262491259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10279,3,03 81 04 
2810,3:23.906 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3262506746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10282,4,02 0F FF 78 
2811,3:23.906 703 688,"SysTick","ISR Exit","Returns to Idle",3262507259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10286,3,03 81 04 
2812,3:23.907 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3262522746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10289,4,02 0F FF 78 
2813,3:23.907 703 688,"SysTick","ISR Exit","Returns to Idle",3262523259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10293,3,03 81 04 
2814,3:23.908 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3262538746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10296,4,02 0F FF 78 
2815,3:23.908 703 688,"SysTick","ISR Exit","Returns to Idle",3262539259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10300,3,03 81 04 
2816,3:23.909 671 625,"SysTick","ISR Enter","Runs for 32.125 us",3262554746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10303,4,02 0F FF 78 
2817,3:23.909 703 750,"SysTick","ISR Exit","Returns to Idle",3262555260,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10307,3,03 82 04 
2818,3:23.910 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3262570746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,10310,4,02 0F FE 78 
2819,3:23.910 703 688,"SysTick","ISR Exit","Returns to Idle",3262571259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,10314,3,03 81 04 
