sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
4717,3:24.832 703 688,"SysTick","ISR Exit","Returns to Idle",3277323259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17191,3,03 81 04 
4718,3:24.833 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277338746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17194,4,02 0F FF 78 
4719,3:24.833 703 688,"SysTick","ISR Exit","Returns to Idle",3277339259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17198,3,03 81 04 
4720,3:24.834 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277354746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17201,4,02 0F FF 78 
4721,3:24.834 703 688,"SysTick","ISR Exit","Returns to Idle",3277355259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17205,3,03 81 04 
4722,3:24.835 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277370746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17208,4,02 0F FF 78 
4723,3:24.835 703 688,"SysTick","ISR Exit","Returns to Idle",3277371259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17212,3,03 81 04 
4724,3:24.836 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277386746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17215,4,02 0F FF 78 
4725,3:24.836 703 688,"SysTick","ISR Exit","Returns to Idle",3277387259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17219,3,03 81 04 
4726,3:24.837 671 688,"SysTick","ISR Enter","Runs for 32.063 us",3277402747,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17222,4,02 0F 80 79 
4727,3:24.837 703 750,"SysTick","ISR Exit","Returns to Idle",3277403260,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17226,3,03 81 04 
4728,3:24.838 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277418746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17229,4,02 0F FE 78 
4729,3:24.838 703 688,"SysTick","ISR Exit","Returns to Idle",3277419259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17233,3,03 81 04 
4730,3:24.839 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277434746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17236,4,02 0F FF 78 
4731,3:24.839 703 688,"SysTick","ISR Exit","Returns to Idle",3277435259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17240,3,03 81 04 
4732,3:24.840 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277450746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17243,4,02 0F FF 78 
4733,3:24.840 703 688,"SysTick","ISR Exit","Returns to Idle",3277451259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17247,3,03 81 04 
4734,3:24.841 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277466746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17250,4,02 0F FF 78 
4735,3:24.841 703 688,"SysTick","ISR Exit","Returns to Idle",3277467259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17254,3,03 81 04 
4736,3:24.842 671 563,"SysTick","ISR Enter","Runs for 32.063 us",3277482745,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17257,4,02 0F FE 78 
4737,3:24.842 703 625,"SysTick","ISR Exit","Returns to Idle",3277483258,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17261,3,03 81 04 
4738,3:24.843 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277498746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17264,4,02 0F 80 79 
4739,3:24.843 703 688,"SysTick","ISR Exit","Returns to Idle",3277499259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17268,3,03 81 04 
4740,3:24.844 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277514746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17271,4,02 0F FF 78 
4741,3:24.844 703 688,"SysTick","ISR Exit","Returns to Idle",3277515259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17275,3,03 81 04 
4742,3:24.845 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277530746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17278,4,02 0F FF 78 
4743,3:24.845 703 688,"SysTick","ISR Exit","Returns to Idle",3277531259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17282,3,03 81 04 
4744,3:24.846 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277546746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17285,4,02 0F FF 78 
4745,3:24.846 703 688,"SysTick","ISR Exit","Returns to Idle",3277547259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17289,3,03 81 04 
4746,3:24.847 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277562746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17292,4,02 0F FF 78 
4747,3:24.847 703 688,"SysTick","ISR Exit","Returns to Idle",3277563259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17296,3,03 81 04 
4748,3:24.848 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277578746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17299,4,02 0F FF 78 
4749,3:24.848 703 688,"SysTick","ISR Exit","Returns to Idle",3277579259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17303,3,03 81 04 
4750,3:24.849 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277594746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17306,4,02 0F FF 78 
4751,3:24.849 703 688,"SysTick","ISR Exit","Returns to Idle",3277595259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17310,3,03 81 04 
4752,3:24.850 671 688,"SysTick","ISR Enter","Runs for 32.125 us",3277610747,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17313,4,02 0F 80 79 
4753,3:24.850 703 813,"SysTick","ISR Exit","Returns to Idle",3277611261,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17317,3,03 82 04 
4754,3:24.851 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277626746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17320,4,02 0F FD 78 
4755,3:24.851 703 688,"SysTick","ISR Exit","Returns to Idle",3277627259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17324,3,03 81 04 
4756,3:24.852 671 625,"SysTick","ISR Enter","Runs for 32.000 us",3277642746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17327,4,02 0F FF 78 
4757,3:24.852 703 625,"SysTick","ISR Exit","Returns to Idle",3277643258,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17331,3,03 80 04 
4758,3:24.853 671 625,"SysTick","ISR Enter","Runs for 32.125 us",3277658746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17334,4,02 0F 80 79 
4759,3:24.853 703 750,"SysTick","ISR Exit","Returns to Idle",3277659260,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17338,3,03 82 04 
4760,3:24.854 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277674746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17341,4,02 0F FE 78 
4761,3:24.854 703 688,"SysTick","ISR Exit","Returns to Idle",3277675259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17345,3,03 81 04 
4762,3:24.855 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277690746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17348,4,02 0F FF 78 
4763,3:24.855 703 688,"SysTick","ISR Exit","Returns to Idle",3277691259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17352,3,03 81 04 
4764,3:24.856 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277706746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17355,4,02 0F FF 78 
4765,3:24.856 703 688,"SysTick","ISR Exit","Returns to Idle",3277707259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17359,3,03 81 04 
4766,3:24.857 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277722746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17362,4,02 0F FF 78 
4767,3:24.857 703 688,"SysTick","ISR Exit","Returns to Idle",3277723259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17366,3,03 81 04 
4768,3:24.858 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277738746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17369,4,02 0F FF 78 
4769,3:24.858 703 688,"SysTick","ISR Exit","Returns to Idle",3277739259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17373,3,03 81 04 
4770,3:24.859 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277754746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17376,4,02 0F FF 78 
